Location_ID,Longitude,Latitude,Street 1,Street 2,Incident_Score
1994,-79.52673,43.620979999999996,THE QUEENSWAY,KIPLING AVE,0.011615616712974513
805,-79.55768,43.74882,FINCH AVE W,DUNCANWOODS DR,0.011615565708117307
1089,-79.189555,43.76765579999999,KINGSTON RD,LAWRENCE AVE E,0.01161549469654414
1222,-79.28482,43.7475,LAWRENCE AVE E,BIRCHMOUNT RD,0.011615459712722967
1832,-79.39864,43.65441,SPADINA AVE,ST ANDREW ST,0.011615449888044535
551,-79.45246,43.70387,DUFFERIN ST,WINGOLD AVE,0.011615422919348754
1458,-79.1862,43.768440000000005,MORNINGSIDE AVE,LAWRENCE AVE E,0.01161529249076792
1702,-79.44903000000001,43.646359999999994,RONCESVALLES AVE,HIGH PARK BLVD,0.011615236409560328
651,-79.246256,43.7370963,EGLINTON AVE E,DANFORTH RD,0.011615060455379045
1761,-79.23491,43.79468,SHEPPARD AVE E,MALVERN ST,0.011615055045540196
2132,-79.53824,43.73376,WESTON RD,SHEPPARD AVE W,0.01161504684576069
28,-79.56134,43.7354,ALBION RD,THISTLE DOWN BLVD,0.011614980735279005
815,-79.490976,43.7634806,FINCH AVE W,KEELE ST,0.011614948442668251
1763,-79.17081999999999,43.808409999999995,SHEPPARD AVE E,MEADOWVALE RD,0.01161494603283019
1949,-79.494495,43.781523,STEELES AVE W,KEELE ST,0.011614943133474854
1035,-79.28226,43.76943,KENNEDY RD,PROGRESS AVE,0.011614837669829065
1338,-79.22833,43.76762,MARKHAM RD,PAINTED POST DR,0.011614820421398867
792,-79.23713000000001,43.81427,FINCH AVE E,TAPSCOTT RD,0.011614818567432381
1399,-79.22667,43.8052,MCLEVIN AVE,TAPSCOTT RD,0.011614803244339004
306,-79.351357,43.6624456,BROADVIEW AVE,DUNDAS ST E,0.011614600642673308
1232,-79.319245,43.7411824,LAWRENCE AVE E,CURLEW DR,0.011614581294958163
2124,-79.51624,43.700140000000005,WESTON RD,LAWRENCE AVE W,0.011614548382035173
954,-79.50555,43.70926,JANE ST,MAPLE LEAF DR,0.011614542238050304
2113,-79.54241999999999,43.7521,WESTON RD,FINCH AVE W,0.01161445182937255
784,-79.28629000000001,43.8038,FINCH AVE E,MIDLAND AVE,0.01161442604900896
1538,-79.42813000000001,43.66796,OSSINGTON AVE,HALLAM ST,0.01161427440731806
1188,-79.533932,43.5943391,LAKE SHORE BLVD W,LONG BRANCH AVE,0.011614138879098613
465,-79.54672,43.69708,DIXON RD,ISLINGTON AVE,0.011614114487361604
1933,-79.445714,43.79245,STEELES AVE W,BATHURST ST,0.011614087049680734
1056,-79.42358,43.63973,KING ST W,JOE SHUSTER WAY,0.011614058102300302
1251,-79.21103000000001,43.762879999999996,LAWRENCE AVE E,MOSSBANK DR,0.011614047227281299
308,-79.352604,43.665479299999994,BROADVIEW AVE,GERRARD ST E,0.011614045993108741
1804,-79.373038,43.663196500000005,SHERBOURNE ST,CARLTON ST,0.011614007510350308
2118,-79.50088000000001,43.691320000000005,WESTON RD,JANE ST,0.011613991335412643
645,-79.31349,43.72602,EGLINTON AVE E,BERMONDSEY RD,0.01161383470459708
976,-79.37924523,43.66787942,JARVIS ST,GLOUCESTER ST,0.011613828307429049
2204,-79.414034,43.773798,YONGE ST,CHURCH AVE,0.011613822706284877
1869,-79.46762,43.672540000000005,ST CLAIR AVE W,KEELE ST,0.011613795717119672
1249,-79.26503000000001,43.75157,LAWRENCE AVE E,MIDLAND AVE,0.011613772844791
108,-79.406841,43.654296,BATHURST ST,NASSAU ST,0.011613737309811138
1215,-79.44641999999999,43.66675,LANSDOWNE AVE,DUPONT ST,0.011613730130883643
982,-79.378325,43.6662894,JARVIS ST,WELLESLEY ST E,0.011613615817715599
564,-79.365987,43.6594438,DUNDAS ST E,PARLIAMENT ST,0.011613606120209306
963,-79.51881,43.76192,JANE ST,STONG CRT,0.01161352013354778
113,-79.403991,43.6471973,BATHURST ST,QUEEN ST W,0.011613503055541763
1905,-79.30705,43.82371,STEELES AVE E,KENNEDY RD,0.011613486795077904
1321,-79.301805,43.6881587,MAIN ST,DANFORTH AVE,0.011613456889181079
885,-79.60149,43.73042,HIGHWAY 27,HUMBER COLLEGE BLVD,0.011613451630903424
793,-79.31576,43.79683,FINCH AVE E,WARDEN AVE,0.011613426415282941
1217,-79.4444271,43.6623561,LANSDOWNE AVE,WALLACE AVE,0.011613409427958472
1346,-79.44173,43.70387,MARLEE AVE,RIDELLE AVE,0.011613406961577283
1937,-79.470123,43.7872672,STEELES AVE W,DUFFERIN ST,0.011613394685966252
240,-79.465232,43.653515399999996,BLOOR ST W,HIGH PARK AVE,0.011613366699424341
572,-79.406015,43.652296,DUNDAS ST W,BATHURST ST,0.011613362990169478
2028,-79.38951999999999,43.65752,UNIVERSITY AVE,GERRARD ST W,0.011613303310581012
395,-79.358828,43.676196399999995,DANFORTH AVE,BROADVIEW AVE,0.011613299930247461
2238,-79.40293,43.727864200000006,YONGE ST,RANLEIGH AVE,0.011613256148463067
1614,-79.316558,43.666345,QUEEN ST E,COXWELL AVE,0.011613228358101663
1830,-79.396364,43.6487315,SPADINA AVE,QUEEN ST W,0.011613193659479196
228,-79.41120500000001,43.665132,BLOOR ST W,BATHURST ST,0.011613190068676426
2025,-79.39049,43.6598474,UNIVERSITY AVE,COLLEGE ST,0.011613189806576796
2050,-79.31522,43.75788,VICTORIA PARK AVE,ELLESMERE RD,0.01161316601272406
145,-79.381698,43.65189,BAY ST,QUEEN ST W,0.01161310640409484
2210,-79.39831099999999,43.7067501,YONGE ST,EGLINTON AVE,0.011613103136785482
1065,-79.40524,43.64342,KING ST W,TECUMSETH ST,0.011613096480916142
2251,-79.377351,43.6478484,YONGE ST,WELLINGTON ST,0.011613062014912889
348,-79.3778242,43.658207,CHURCH ST,GOULD ST,0.01161303962022026
2217,-79.38209599999999,43.6590897,YONGE ST,GERRARD ST,0.011613018225223884
840,-79.391253,43.6433915,FRONT ST W,BLUE JAYS WAY,0.011612988749724976
1915,-79.17025,43.85545,STEELES AVE E,PICKERING TOWN LINE,0.011612919264032467
1510,-79.33421,43.69676,O CONNOR DR,FOUR OAKS GT,0.011612906387511696
1171,-79.54258472,43.59235474,LAKE SHORE BLVD W,BROWNS LINE,0.011612901395615079
1121,-79.52604000000001,43.61923,KIPLING AVE,GARDINER WB OFF RAMP,0.011612901261106584
31,-79.53908,43.717690000000005,ALBION RD,WESTON RD ALBION RD RAMP,0.01161289502046941
415,-79.292675,43.6902727,DANFORTH AVE,SIBLEY AVE,0.011612891765837045
988,-79.48366999999999,43.733587,KEELE ST,CALVINGTON DR,0.011612889436151677
731,-79.23498000000001,43.77576,ELLESMERE RD,DOLLY VARDEN BLVD,0.011612888656689078
2055,-79.3363,43.80409,VICTORIA PARK AVE,MCNICOLL AVE,0.011612887256720269
951,-79.50480999999999,43.70665,JANE ST,JOHN ST,0.011612885497540582
173,-79.36359,43.687979999999996,BAYVIEW AVE,POTTERY RD,0.011612883305054784
654,-79.32852,43.72361,EGLINTON AVE E,DVP N EGLINTON RAMP,0.011612881666770032
175,-79.36019300000001,43.6702347,BAYVIEW AVE,ROSEDALE VALLEY RD,0.006777285192155837
888,-79.61046,43.74972,HIGHWAY 27,ROYALCREST RD,0.006000602995087305
1406,-79.23467,43.827290000000005,MCNICOLL AVE,MORNINGSIDE AVE,0.005914315888644023
298,-79.26717416,43.78544414,BRIMLEY RD,SHEPPARD AVE E,0.005881112457868665
1174,-79.458968,43.637865000000005,LAKE SHORE BLVD W,COLBORNE LODGE DR,0.005841113511922587
498,-79.34914,43.69721,DONLANDS AVE,MILLWOOD RD,0.005840880378031757
