LAT,LONG,VEH,PED
43.649418000000004,-79.371446,15662,13535
43.6504606,-79.3719239,12960,7333
43.6515337,-79.37236,17770,7083
43.6527176,-79.37282400000001,19678,4369
43.653704000000005,-79.373238,14487,3368
43.655357,-79.373862,15846,3747
43.657052,-79.374531,17835,5858
43.660432,-79.37585370000001,18196,6493
43.662420000000004,-79.3767079,14222,6165
43.666289400000004,-79.378325,18163,5213
43.668869,-79.3794158,15197,2713
43.6699892,-79.3799226,16280,2976
43.6715773,-79.38052,15844,9810
43.648513176,-79.37383353700001,10467,7381
43.6499164,-79.374409,12017,20866
43.651173,-79.374925,13816,9692
43.652441,-79.375448,10374,7179
43.65317,-79.375754,13867,11799
43.654817,-79.376441,11028,6952
43.656499000000004,-79.377127,13764,10302
43.659858,-79.378522,13437,15840
43.661871000000005,-79.37933500000001,11648,11072
43.665703400000005,-79.38092800000001,12231,12520
43.671022400000005,-79.38312300000001,18339,27313
43.6506539,-79.37724800000001,9968,18326
43.651952200000004,-79.377756,11767,10589
43.652670300000004,-79.378066,10087,24100
43.646846000000004,-79.376931,10996,10950
43.6478484,-79.377351,13620,26656
43.6491624,-79.377904,10911,14579
43.650419,-79.37843600000001,12454,11224
43.651697000000006,-79.37896500000001,9390,19530
43.6524209,-79.379276,10956,21936
43.654066,-79.379957,9525,15491
43.656326,-79.38091200000001,10925,34615
43.6590897,-79.382096,10019,21562
43.661368700000004,-79.383094,13438,32030
43.6649351,-79.384558,9051,19591
43.670229000000006,-79.386767,14398,23335
43.672879,-79.387845,15532,7870
43.6756028,-79.38895000000001,13870,3434
43.676976200000006,-79.38953400000001,10193,3758
43.6791392,-79.39042400000001,15632,4127
43.6820226,-79.391574,14363,6199
43.688075000000005,-79.394098,20437,10303
43.698297700000005,-79.396601,19703,18330
43.702508,-79.397458,14040,3776
43.7067501,-79.398311,23360,20902
43.709554000000004,-79.398943,16937,14176
43.7118551,-79.399437,15456,3080
43.716605,-79.400452,19891,1438
43.7195544,-79.40109000000001,14632,1311
43.721971,-79.40155700000001,18003,1409
43.725103100000005,-79.40219300000001,24489,9198
43.727864200000006,-79.40293000000001,18308,5040
43.730913,-79.403788,19161,3893
43.7343677,-79.40458500000001,24567,2215
43.645996000000004,-79.379115,18965,17115
43.647345,-79.37970200000001,16188,32319
43.648653,-79.380268,15543,47561
43.649876000000006,-79.380823,16489,28424
43.651224400000004,-79.38145200000001,10403,26445
43.65189,-79.381698,15397,20612
43.652965200000004,-79.382631,9430,9629
43.655721,-79.383734,16598,31918
43.658496,-79.384865,19660,12211
43.6608138,-79.385857,17491,24779
43.664366,-79.387151,16636,18418
43.669701,-79.38946800000001,19112,29629
43.6466383,-79.383007,5575,32338
43.647933800000004,-79.383531,12474,20091
43.649196,-79.384074,14130,9142
43.6505005,-79.38462,9677,11122
43.645291,-79.38247600000001,16857,17564
43.646405400000006,-79.38407600000001,18390,18152
43.647655300000004,-79.384788,16694,8406
43.648857,-79.38548,20740,5715
43.6501396,-79.38624,20727,5525
43.650827,-79.386628,23078,10824
43.654812,-79.388484,30191,28927
43.656323,-79.388959,26595,17276
43.659847400000004,-79.39049,20732,12177
43.6636098,-79.39062600000001,15472,5941
43.6659353,-79.391879,12427,1217
43.668685,-79.394119,24059,14885
43.7145838,-79.359791,26029,1107
43.713573000000004,-79.36475200000001,19362,2018
43.7125627,-79.369606,18995,716
43.711056,-79.377114,30378,2880
43.7100093,-79.382221,16885,841
43.7084166,-79.390153,20734,6602
43.707866900000006,-79.39279,14372,6034
43.7063458,-79.40025200000001,15743,1967
43.7051068,-79.406125,13295,488
43.7046104,-79.408474,26329,3717
43.7034761,-79.41388,14096,2607
43.702713100000004,-79.417444,19751,1037
43.702361100000005,-79.419081,20620,416
43.7009757,-79.425534,20547,2504
43.6998248,-79.43096100000001,15770,783
43.698048,-79.439379,17430,1355
43.697293200000004,-79.442789,17171,3006
43.696242000000005,-79.447688,7308,2900
43.695684,-79.450293,22212,8427
43.694985,-79.45347600000001,9802,3069
43.672136,-79.395624,14811,2673
43.674705,-79.396651,31510,4661
43.67719,-79.39757900000001,16518,642
43.679547500000005,-79.39855,18929,662
43.684324100000005,-79.400495,23332,1605
43.686624,-79.40147900000001,29303,4696
43.690773,-79.40302700000001,19162,807
43.693729700000006,-79.401852,19054,195
43.6978798,-79.403231,14555,716
43.698761000000005,-79.406076,19127,601
43.710333000000006,-79.411119,18012,970
43.71696,-79.413444,22274,416
43.7222401,-79.41558900000001,27712,2674
43.727900000000005,-79.417894,20920,1089
43.733200000000004,-79.41951,22365,1366
43.7359103,-79.4201,16556,638
43.7398627,-79.421636,33867,1383
43.744121,-79.40672400000001,38102,1068
43.7615144,-79.410903,38219,12257
43.7692945,-79.412931,21274,11387
43.773798,-79.414034,20746,5164
43.779790000000006,-79.41556,29978,13027
